epoch,startTimestamp,lockTimestamp,closeTimestamp,lockPrice,closePrice,lockOracleId,closeOracleId,totalAmount,bullAmount,bearAmount,rewardBaseCalAmount,rewardAmount,oracleCalled
1,1704637952,1704639752,1704641588,4441400000000,4422563658000,36893488147419336072,36893488147419336086,0,0,0,0,0,True
2,1704639788,1704641588,1704643692,4422563658000,4418285827000,36893488147419336086,36893488147419336107,60000000000000000000,0,60000000000000000000,60000000000000000000,55200000000000000000,True
3,1704641892,1704643692,1704646813,4418285827000,4397231278000,36893488147419336107,36893488147419336119,120000000000000000000,120000000000000000000,0,0,110400000000000000000,True
4,1704645013,1704646813,1704648613,4397231278000,4408400000000,36893488147419336119,36893488147419336143,0,0,0,0,0,True
5,1704646813,1704648613,1704652218,4408400000000,4413932400000,36893488147419336143,36893488147419336168,0,0,0,0,0,True
6,1704650418,1704652218,1704655812,4413932400000,4413000000000,36893488147419336168,36893488147419336179,0,0,0,0,0,True
7,1704654012,1704655812,1704657612,4413000000000,4426400000000,36893488147419336179,36893488147419336190,0,0,0,0,0,True
8,1704655812,1704657612,1704659412,4426400000000,4422900000000,36893488147419336190,36893488147419336202,0,0,0,0,0,True
9,1704657612,1704659412,1704661264,4422900000000,4425677340876,36893488147419336202,36893488147419336224,0,0,0,0,0,True
10,1704659464,1704661264,1704664814,4425677340876,4424628200000,36893488147419336224,36893488147419336236,0,0,0,0,0,True
11,1704663014,1704664814,1704666646,4424628200000,4391320417900,36893488147419336236,36893488147419336260,0,0,0,0,0,True
12,1704664846,1704666646,1704670214,4391320417900,4386700000000,36893488147419336260,36893488147419336272,0,0,0,0,0,True
13,1704668414,1704670214,1704672018,4386700000000,0,36893488147419336272,0,0,0,0,0,0,False
14,1704670218,1704672018,1704675612,4386338669500,0,36893488147419336296,0,0,0,0,0,0,False
15,1704673812,1704675612,1704679210,4379600000000,4373548000000,36893488147419336320,36893488147419336332,0,0,0,0,0,True
16,1704677410,1704679210,1704681010,4373548000000,4365688868000,36893488147419336332,36893488147419336344,0,0,0,0,0,True
17,1704679210,1704681010,1704682810,4365688868000,4335845027316,36893488147419336344,36893488147419336357,0,0,0,0,0,True
18,1704681010,1704682810,1704684614,4335845027316,4328238896899,36893488147419336357,36893488147419336368,0,0,0,0,0,True
19,1704682814,1704684614,1704686414,4328238896899,4354253500000,36893488147419336368,36893488147419336381,0,0,0,0,0,True
20,1704684614,1704686414,1704688214,4354253500000,0,36893488147419336381,0,0,0,0,0,0,False
21,1704686414,1704688214,1704691816,4360120116173,0,36893488147419336404,0,0,0,0,0,0,False
22,1704690016,1704691816,1704695414,4362584844951,0,36893488147419336428,0,0,0,0,0,0,False
23,1704693614,1704695414,1704699016,4389400000000,0,36893488147419336453,0,0,0,0,0,0,False
24,1704697216,1704699016,1704702614,4398598000000,4399920000000,36893488147419336477,36893488147419336488,0,0,0,0,0,True
25,1704700814,1704702614,1704704415,4399920000000,0,36893488147419336488,0,0,0,0,0,0,False
26,1704702615,1704704415,1704708018,4385147000000,0,36893488147419336512,0,0,0,0,0,0,False
27,1704706218,1704708018,1704711614,4401678100000,0,36893488147419336536,0,0,0,0,0,0,False
28,1704709814,1704711614,1704715214,4419286000000,4460353299000,36893488147419336560,36893488147419336572,0,0,0,0,0,True
29,1704713414,1704715214,1704717014,4460353299000,4456300000000,36893488147419336572,36893488147419336585,0,0,0,0,0,True
30,1704715214,1704717014,1704718822,4456300000000,0,36893488147419336585,0,0,0,0,0,0,False
31,1704717022,1704718822,1704722414,4514921774888,0,36893488147419336609,0,0,0,0,0,0,False
32,1704720614,1704722414,1704726014,4503164032992,0,36893488147419336632,0,0,0,0,0,0,False
33,1704724214,1704726014,1704729618,4480373800000,0,36893488147419336656,0,0,0,0,0,0,False
