epoch,startTimestamp,lockTimestamp,closeTimestamp,lockPrice,closePrice,lockOracleId,closeOracleId,totalAmount,bullAmount,bearAmount,rewardBaseCalAmount,rewardAmount,oracleCalled
1,1705232511,1705232811,1705233123,253679359540,253747357784,36893488147419340409,36893488147419340411,0,0,0,0,0,True
2,1705232823,1705233123,1705233433,253747357784,253815996255,36893488147419340411,36893488147419340413,0,0,0,0,0,True
3,1705233133,1705233433,1705233745,253815996255,253573769811,36893488147419340413,36893488147419340415,0,0,0,0,0,True
4,1705233445,1705233745,1705234057,253573769811,253521000000,36893488147419340415,36893488147419340417,0,0,0,0,0,True
5,1705233757,1705234057,1705234367,253521000000,253865067000,36893488147419340417,36893488147419340419,0,0,0,0,0,True
6,1705234067,1705234367,1705234677,253865067000,254012020000,36893488147419340419,36893488147419340421,0,0,0,0,0,True
7,1705234377,1705234677,1705234991,254012020000,254090440000,36893488147419340421,36893488147419340423,0,0,0,0,0,True
8,1705234691,1705234991,1705235303,254090440000,254290000000,36893488147419340423,36893488147419340425,0,0,0,0,0,True
9,1705235003,1705235303,1705235613,254290000000,254390712020,36893488147419340425,36893488147419340428,0,0,0,0,0,True
10,1705235313,1705235613,1705235923,254390712020,254415810000,36893488147419340428,36893488147419340430,0,0,0,0,0,True
11,1705235623,1705235923,1705236235,254415810000,254340075000,36893488147419340430,36893488147419340432,0,0,0,0,0,True
12,1705235935,1705236235,1705236547,254340075000,254066252379,36893488147419340432,36893488147419340434,0,0,0,0,0,True
13,1705236247,1705236547,1705236867,254066252379,253929129029,36893488147419340434,36893488147419340436,0,0,0,0,0,True
14,1705236567,1705236867,1705237177,253929129029,253581904189,36893488147419340436,36893488147419340438,0,0,0,0,0,True
15,1705236877,1705237177,1705237488,253581904189,253641550426,36893488147419340438,36893488147419340440,0,0,0,0,0,True
16,1705237188,1705237488,1705237798,253641550426,253457170915,36893488147419340440,36893488147419340442,0,0,0,0,0,True
17,1705237498,1705237798,1705238115,253457170915,253474395785,36893488147419340442,36893488147419340444,0,0,0,0,0,True
18,1705237815,1705238115,1705238429,253474395785,253644972679,36893488147419340444,36893488147419340446,0,0,0,0,0,True
19,1705238129,1705238429,1705238739,253644972679,253305597405,36893488147419340446,36893488147419340448,0,0,0,0,0,True
20,1705238439,1705238739,1705239049,253305597405,253306044840,36893488147419340448,36893488147419340450,0,0,0,0,0,True
21,1705238749,1705239049,1705239365,253306044840,253595406836,36893488147419340450,36893488147419340453,0,0,0,0,0,True
22,1705239065,1705239365,1705239675,253595406836,253517821570,36893488147419340453,36893488147419340455,0,0,0,0,0,True
23,1705239375,1705239675,1705239987,253517821570,252914284883,36893488147419340455,36893488147419340457,0,0,0,0,0,True
24,1705239687,1705239987,1705240303,252914284883,252992068671,36893488147419340457,36893488147419340459,0,0,0,0,0,True
25,1705240003,1705240303,1705240613,252992068671,253602966604,36893488147419340459,36893488147419340461,0,0,0,0,0,True
26,1705240313,1705240613,1705240923,253602966604,253247766192,36893488147419340461,36893488147419340463,0,0,0,0,0,True
27,1705240623,1705240923,1705241233,253247766192,253600925504,36893488147419340463,36893488147419340465,0,0,0,0,0,True
28,1705240933,1705241233,1705241545,253600925504,254040497000,36893488147419340465,36893488147419340467,0,0,0,0,0,True
29,1705241245,1705241545,1705241865,254040497000,253777758962,36893488147419340467,36893488147419340470,0,0,0,0,0,True
30,1705241565,1705241865,1705242183,253777758962,253502170545,36893488147419340470,36893488147419340472,0,0,0,0,0,True
31,1705241883,1705242183,1705242497,253502170545,253360522650,36893488147419340472,36893488147419340474,0,0,0,0,0,True
32,1705242197,1705242497,1705242813,253360522650,253250000000,36893488147419340474,36893488147419340476,0,0,0,0,0,True
33,1705242513,1705242813,1705243123,253250000000,253251750000,36893488147419340476,36893488147419340478,0,0,0,0,0,True
34,1705242823,1705243123,1705243437,253251750000,253181684121,36893488147419340478,36893488147419340480,0,0,0,0,0,True
35,1705243137,1705243437,1705243749,253181684121,253443260000,36893488147419340480,36893488147419340482,0,0,0,0,0,True
36,1705243449,1705243749,1705244063,253443260000,253713542174,36893488147419340482,36893488147419340484,0,0,0,0,0,True
37,1705243763,1705244063,1705244375,253713542174,254033420000,36893488147419340484,36893488147419340486,0,0,0,0,0,True
38,1705244075,1705244375,1705244685,254033420000,254116406421,36893488147419340486,36893488147419340488,0,0,0,0,0,True
39,1705244385,1705244685,1705245005,254116406421,254306634000,36893488147419340488,36893488147419340491,0,0,0,0,0,True
40,1705244705,1705245005,1705245317,254306634000,253699000000,36893488147419340491,36893488147419340493,0,0,0,0,0,True
41,1705245017,1705245317,1705245628,253699000000,253571798019,36893488147419340493,36893488147419340495,0,0,0,0,0,True
42,1705245328,1705245628,1705245936,253571798019,253590000000,36893488147419340495,36893488147419340497,0,0,0,0,0,True
43,1705245636,1705245936,1705246251,253590000000,253784214188,36893488147419340497,36893488147419340499,0,0,0,0,0,True
44,1705245951,1705246251,1705246563,253784214188,253826000000,36893488147419340499,36893488147419340502,0,0,0,0,0,True
45,1705246263,1705246563,1705246873,253826000000,254027171784,36893488147419340502,36893488147419340504,0,0,0,0,0,True
46,1705246573,1705246873,1705247187,254027171784,253967998169,36893488147419340504,36893488147419340506,0,0,0,0,0,True
47,1705246887,1705247187,1705247505,253967998169,254154756662,36893488147419340506,36893488147419340507,0,0,0,0,0,True
48,1705247205,1705247505,1705247815,254154756662,253975000000,36893488147419340507,36893488147419340510,0,0,0,0,0,True
49,1705247515,1705247815,1705248123,253975000000,0,36893488147419340510,0,0,0,0,0,0,False
50,1705247823,1705248123,1705248423,0,0,0,0,0,0,0,0,0,False
51,1705248203,1705248503,1705248813,254090861927,254154722228,36893488147419340514,36893488147419340516,0,0,0,0,0,True
52,1705248513,1705248813,1705249129,254154722228,254288540313,36893488147419340516,36893488147419340518,0,0,0,0,0,True
53,1705248829,1705249129,1705249441,254288540313,253780030702,36893488147419340518,36893488147419340520,0,0,0,0,0,True
54,1705249141,1705249441,1705249751,253780030702,0,36893488147419340520,0,0,0,0,0,0,False
55,1705249451,1705249751,1705250051,0,0,0,0,0,0,0,0,0,False
56,1705249829,1705250129,1705250439,252483262234,252995331046,36893488147419340524,36893488147419340526,0,0,0,0,0,True
57,1705250139,1705250439,1705250753,252995331046,252503190015,36893488147419340526,36893488147419340527,0,0,0,0,0,True
58,1705250453,1705250753,1705251065,252503190015,252469995374,36893488147419340527,36893488147419340529,0,0,0,0,0,True
59,1705250765,1705251065,1705251377,252469995374,0,36893488147419340529,0,0,0,0,0,0,False
60,1705251077,1705251377,1705251677,0,0,0,0,0,0,0,0,0,False
61,1705251453,1705251753,1705252063,252509351014,252851326498,36893488147419340535,36893488147419340537,0,0,0,0,0,True
62,1705251763,1705252063,1705252377,252851326498,252703000000,36893488147419340537,36893488147419340539,0,0,0,0,0,True
